id,district_id,name,bangla,web,created_by
242,32,Pirojpur Sadar,পিরোজপুর সদর,sadar.pirojpur.gov.bd,system
243,32,Nazirpur,নাজিরপুর,nazirpur.pirojpur.gov.bd,system
244,32,Kawkhali,কাউখালী,kawkhali.pirojpur.gov.bd,system
245,32,Zianagar,জিয়ানগর,zianagar.pirojpur.gov.bd,system
246,32,Bhandaria,ভান্ডারিয়া,bhandaria.pirojpur.gov.bd,system
247,32,Mathbaria,মঠবাড়ীয়া,mathbaria.pirojpur.gov.bd,system
248,32,Nesarabad,নেছারাবাদ,nesarabad.pirojpur.gov.bd,system
249,33,Barisal Sadar,বরিশাল সদর,barisalsadar.barisal.gov.bd,system
250,33,Bakerganj,বাকেরগঞ্জ,bakerganj.barisal.gov.bd,system
251,33,Babuganj,বাবুগঞ্জ,babuganj.barisal.gov.bd,system
252,33,Wazirpur,উজিরপুর,wazirpur.barisal.gov.bd,system
253,33,Banaripara,বানারীপাড়া,banaripara.barisal.gov.bd,system
254,33,Gournadi,গৌরনদী,gournadi.barisal.gov.bd,system
255,33,Agailjhara,আগৈলঝাড়া,agailjhara.barisal.gov.bd,system
256,33,Mehendiganj,মেহেন্দিগঞ্জ,mehendiganj.barisal.gov.bd,system
257,33,Muladi,মুলাদী,muladi.barisal.gov.bd,system
258,33,Hizla,হিজলা,hizla.barisal.gov.bd,system
259,34,Bhola Sadar,ভোলা সদর,sadar.bhola.gov.bd,system
260,34,Borhan Sddin,বোরহান উদ্দিন,borhanuddin.bhola.gov.bd,system
261,34,Charfesson,চরফ্যাশন,charfesson.bhola.gov.bd,system
262,34,Doulatkhan,দৌলতখান,doulatkhan.bhola.gov.bd,system
263,34,Monpura,মনপুরা,monpura.bhola.gov.bd,system
264,34,Tazumuddin,তজুমদ্দিন,tazumuddin.bhola.gov.bd,system
265,34,Lalmohan,লালমোহন,lalmohan.bhola.gov.bd,system
266,35,Amtali,আমতলী,amtali.barguna.gov.bd,system
267,35,Barguna Sadar,বরগুনা সদর,sadar.barguna.gov.bd,system
268,35,Betagi,বেতাগী,betagi.barguna.gov.bd,system
269,35,Bamna,বামনা,bamna.barguna.gov.bd,system
270,35,Pathorghata,পাথরঘাটা,pathorghata.barguna.gov.bd,system
271,35,Taltali,তালতলি,taltali.barguna.gov.bd,system
272,36,Balaganj,বালাগঞ্জ,balaganj.sylhet.gov.bd,system
273,36,Beanibazar,বিয়ানীবাজার,beanibazar.sylhet.gov.bd,system
274,36,Bishwanath,বিশ্বনাথ,bishwanath.sylhet.gov.bd,system
275,36,Companiganj,কোম্পানীগঞ্জ,companiganj.sylhet.gov.bd,system
276,36,Fenchuganj,ফেঞ্চুগঞ্জ,fenchuganj.sylhet.gov.bd,system
277,36,Golapganj,গোলাপগঞ্জ,golapganj.sylhet.gov.bd,system
278,36,Gowainghat,গোয়াইনঘাট,gowainghat.sylhet.gov.bd,system
279,36,Jaintiapur,জৈন্তাপুর,jaintiapur.sylhet.gov.bd,system
280,36,Kanaighat,কানাইঘাট,kanaighat.sylhet.gov.bd,system
281,36,Sylhet Sadar,সিলেট সদর,sylhetsadar.sylhet.gov.bd,system
282,36,Zakiganj,জকিগঞ্জ,zakiganj.sylhet.gov.bd,system
283,36,Dakshinsurma,দক্ষিণ সুরমা,dakshinsurma.sylhet.gov.bd,system
284,36,Osmaninagar,ওসমানী নগর,osmaninagar.sylhet.gov.bd,system
285,37,Barlekha,বড়লেখা,barlekha.moulvibazar.gov.bd,system
286,37,Kamolganj,কমলগঞ্জ,kamolganj.moulvibazar.gov.bd,system
287,37,Kulaura,কুলাউড়া,kulaura.moulvibazar.gov.bd,system
288,37,Moulvibazar Sadar,মৌলভীবাজার সদর,moulvibazarsadar.moulvibazar.gov.bd,system
289,37,Rajnagar,রাজনগর,rajnagar.moulvibazar.gov.bd,system
290,37,Sreemangal,শ্রীমঙ্গল,sreemangal.moulvibazar.gov.bd,system
291,37,Juri,জুড়ী,juri.moulvibazar.gov.bd,system
292,38,Nabiganj,নবীগঞ্জ,nabiganj.habiganj.gov.bd,system
293,38,Bahubal,বাহুবল,bahubal.habiganj.gov.bd,system
294,38,Ajmiriganj,আজমিরীগঞ্জ,ajmiriganj.habiganj.gov.bd,system
295,38,Baniachong,বানিয়াচং,baniachong.habiganj.gov.bd,system
296,38,Lakhai,লাখাই,lakhai.habiganj.gov.bd,system
297,38,Chunarughat,চুনারুঘাট,chunarughat.habiganj.gov.bd,system
298,38,Habiganj Sadar,হবিগঞ্জ সদর,habiganjsadar.habiganj.gov.bd,system
299,38,Madhabpur,মাধবপুর,madhabpur.habiganj.gov.bd,system
300,39,Sunamganj Sadar,সুনামগঞ্জ সদর,sadar.sunamganj.gov.bd,system
301,39,South Sunamganj,দক্ষিণ সুনামগঞ্জ,southsunamganj.sunamganj.gov.bd,system
302,39,Bishwambarpur,বিশ্বম্ভরপুর,bishwambarpur.sunamganj.gov.bd,system
303,39,Chhatak,ছাতক,chhatak.sunamganj.gov.bd,system
304,39,Jagannathpur,জগন্নাথপুর,jagannathpur.sunamganj.gov.bd,system
305,39,Dowarabazar,দোয়ারাবাজার,dowarabazar.sunamganj.gov.bd,system
306,39,Tahirpur,তাহিরপুর,tahirpur.sunamganj.gov.bd,system
307,39,Dharmapasha,ধর্মপাশা,dharmapasha.sunamganj.gov.bd,system
308,39,Jamalganj,জামালগঞ্জ,jamalganj.sunamganj.gov.bd,system
309,39,Shalla,শাল্লা,shalla.sunamganj.gov.bd,system
310,39,Derai,দিরাই,derai.sunamganj.gov.bd,system
311,40,Belabo,বেলাবো,belabo.narsingdi.gov.bd,system
312,40,Monohardi,মনোহরদী,monohardi.narsingdi.gov.bd,system
313,40,Narsingdi Sadar,নরসিংদী সদর,narsingdisadar.narsingdi.gov.bd,system
314,40,Palash,পলাশ,palash.narsingdi.gov.bd,system
315,40,Raipura,রায়পুরা,raipura.narsingdi.gov.bd,system
316,40,Shibpur,শিবপুর,shibpur.narsingdi.gov.bd,system
317,41,Kaliganj,কালীগঞ্জ,kaliganj.gazipur.gov.bd,system
